,Tweets,Sentiment
38,What a fabulous phase we have in : the combination of the greatest ever PM  ji and the greatest ever actor in  history  ji!!,1
39,"First she calls Mumbai POK, then she calls the hard earned freedom as ""Bheek mein mili hui"". Why is there still no action against her? This is a direct insult to our freedom fighters and its NOT okay. PATHETIC",1
40,"I wont be wrong when I say that   is the most foolish woman living in our country.. shes an insult to our country, its freedom and our freedom fighters.""",1
41,"The comments were about Congresss role in sabotaging freedom for their political gains and not who did what. Please dont waste my time. To each his own. Enuf Said. """,1
42,"Buddy dont cross the line of civility and decency like    just because wear dresses that shows skin doesnt mean you can question their honor, respect or decency - its not a measure. At the End, she is women, question her intelligence, ideology, hatred",1
43,"Buddy dont cross the line of civility and decency like    just because wear dresses that shows skin doesnt mean you can question their honor, respect or decency - its not a measure. At the End, she is women, question her intelligence, ideology, hatred",1
44,"She said those who fought for freedom like bose, bhagat, chandrasekhar were not given the power. The power was given as alms to British creation called congress. Hindus became free in 2014 in the true sense of word.SO BRAVO KANGANA! We support you.",1
45,Why bro Kangana has no freedom of eession?We have been taught wrong history that de di hame Aazadi Bina kadg Bina dhal. What does it means. Does it means that we are belittling the sacrifice of thousand of our martyers ?,1
46,Realy shame on you    inviting   on your channel,0
47,"Kangna didnt  Insult Mangal pandey, Netaji Bose, Savarkar or any other Freedom Fighter , but What is Happening In Congress Ruled ,So many Firs where is    Liberalism Died in Congress Ruled States""",0
48,no need for keeping this award to  iske layak nahi hai woh....,1
49,"Kangana Ranaut says 1947 was bheek and India got real freedom in 201...  via   """,1
50,thingsInsult to freedom fighters,1
51,Even Our Great Freedom Fighters Thinks Same As  About Congress,1
52,should be given the next award in same category what  received ...Shameless !,1
53,"No one even from so-called enemy nations like Pakistan and China wont make such bullshit comment to that level of s   that Indias freedom was achieved by begging,they have also full respect to our brave freedom fighters who sacrificed theirs lives 4a great cause.""",1
54,"Proud of Kangana Ranaut.. Hope more young Hindus realise the fake independence where the then PM &amp; MKG were just stooges of the Queen,Lenins and uncle Sam under which Hindus have been made to live a life of 2nd Class citizens..",1
55,"Kangana, the bhakth, received Indias fourth-highest civilian award from Modi Govt. No point debating it on Twitter.Twitter has already given their lifetime award for her Hate Speech. """,1
56,Nobody:Freedom fighters now:,1
57,"still higher officials ,  high command    not reacting on this issue ..it is more hurting than her words...or they will react only  if  or  leaders says that words..",0
58,Because our BJP PAID channels are busy with  instead doing a good journalism,1
59,Footprints On Earth    Charity Ngilu Nick Mwendwa Mueke Congratulations Pere Jumia Eosion,1
60,Congres party ki aukat.,1
61,Fighting for freedom in 2014. I enjoyed a lot... Did you guys?????,1
62,why you are cheering after  bheek remark ?,1
63,"Now aftr 2 days of outrage TimesNow realise n issue a statement.A very irresponsible act,if u or ur journalist r true Indian they would hv condemned it on d spot.U must also issue an apology 2 hv such person interviewed at ur channel",0
64,"Need some clarification from  on which Azadi Ka Amrut Mahotsav are we celebrating? The one which we got on lease or the one which we got in bheek...    """,1
65,"Hey  ,May you please let the govt know real independence day (date). So that they can fix our calendar and national holiday.",1
66,This is reality of congress party.,1
67,Here comes a HD video evidence for the Ghana clients.. Kindly confirm     Because we are here for serious business,1
68,One comment and all the anti Hindu brigade up in arms. I share her sentiments. BJP brought real freedom,1
69,hey  fans are you feeling bright enough for supporting this idiot? thanks to  all kinds of cretins are crawling out of the woodworks,1
70,According to  freedom fighters are jokers and Modi is the real freedom fighter,1
71,"sir ..when did we got independence??? in 1947 or in 2014   we are confused...if latter is wrong then why dont you react??? """,0
72,"1)  who insults the thousands of Freedom fighters gets  2) Job Termination for Dr Kafeel Khan who saved the children!Hes terminated despite getting clean chit from High Court!   """,1
73,I love Kangana for making this comment. Felt stifled under Congress governance since Independence. Finally when BJP came felt liberated and happy. This sentiment is shared by many of us and nothing wrong with her saying this openly.,1
74,Anyone else want to smash their TV sets tonight ???,1
75,Neuherbs Triple Tulsi - Giloy Plus Tablets For Boosts Immunity At Rs.99,1
76,"One special thing that we have left In that particular video Navika was saying ""thats why people call you GOD""  MEANS she were supporting her at that time .....Kangana is directly insulting our freedom fights",1
77,"Did  took permission of ""Padam Shri"" Kangna Ranaut to say this?Thats not fair, you cant take  freedom fighting credit from Reel La bai and give it to Real La Bai.",1
78,This is utmost insult of our freedom fightersPadma Shree is given to such shameless people who have the audacity to speak nonsense with confidence. She deserves sedition charges !!,0
79,"Dont miss this unique erience.  Hurry up Slots are filling up faster  Book your spot now.  """,0
80,By any standards of patriotism Kangana Ranaut needs to be stripped of her National Honours. She is so desperate for publicity that she insulted all the martyrs of freedom movement. This lady deserves to be penalised under the sedition acts.,0
81,"Kangana Ranuat is saying that the freedom in 1947 was a """" and doing Manikarnika movie. Wahhh..... BJP ki Dalal. Good Good  keep it up. Koi isey mental hospital ley jao... Film flop hone sey bawli ho gayi hai.",1
82,Pune Police Gets Another Complaint Against Actress Kangana Ranaut.,0
83,"believed in freedom narrated by Shaheed Bhagat Singh,may be she realized that even after gaining independence, there are underprivileged groups for whom nothing has been done for 70 years of freedom. is role model who achieve success by her own",1
84,insults the freedom fighters. Says that the nation attained freedom in 2014 to please her masters in  Enough reason for slapping treason case against her,1
85,Britishers freed India from Mughal.Modi ji freed India from Congress.,1
86,We Love nationalist,1
87,This man called  should b prosecuted/jailed by fast track court 4 spreading communal disharmony by spreading false messages out of sheer hunger 4 power &amp; money.  His idiot slaves are talking about arresting  instead. These bastards have destroyed India.,0
88,"Dont worry. For more information Visit Sant Rampal Ji Maharaj Youtube Channel. """,0
89,"1)  who insults the thousands of Freedom fighters gets  2) Job Termination for  who saved the children!Hes terminated despite getting clean chit from High Court!    """,1
90,We all love you,1
91,As long as you keep blessing people with your trading I will always be grateful with your company  no doubt you are a blessing to my family thanks for this wonderful profit received.,1
92,"Other than two issues relating to  and ,  these Congi losers have nothing else to discuss. Their fate is gonna remain the same for few more years under the leadership of moorkh  On other side, bullas havent stopped being crybabies since 2014 """,0
93,Congress should be ashamed to have looted the same country for which millions of  laid their lives. Why blame  when she points out what congress did to this country,0
94,"Brave step and true words of 100% Agree with her, being an  Indian citizen",1
95,is my favorite actress till she keeps her mouth shut.,1
96,Aug 15th 1947      Proud to be indian!  desh drohi !!,1
97,Amazon Prime Music MembershipLink:,1
98,When a certain president was asked to leave this platform I thought there were pretty big shoes to fill.....well....  took the job and ATE IT!,1
99,"She speak anything for publicity even against our freedom fighters, but we raise our voice aginst her",1
100,Kangana is a great distraction from Rafale ScamInflationUnemployment,1
101,"1 : Whats the importance of  2: Dont know bro,  is the latest recipient. 1: Got it bro""",1
102,"Talent loyalty cant but Chaplusi is still on top      """,1
103,"She is the best actress, unlike",1
104,"Shame on U,  co suppari agents,  ,  ,  .",0
105,"Modi might confer Padma Shri on Kangana Ranaut, but will not be able to forgive her from his heart",1
106,I am really proud of Kangana ...,1
107,"Too little too late... hate mongers     The anchor, the editor and most importantly the elite audience actually applauded the live streaming  A NEW LOW in the history of a secular democratic nation!!",0
108,"Param Vir for First war of independence 2014 yes she states that India did not get freedom in 1947 yes no wonder  defaced to dolando trump park     """,1
109,"Duplicate Jhansi ki Rani, shameless  should be booked Under the serious charges of sedition, and Desh Droh immediately. for maligning, defaming, &amp; insulting our Great freedom fighters.",1
110,"What  really meant was  got freedom to maim and kill innocent , ,  and jail innocents on trumped up charges.  got freedom to loot the country in 2014.",1
111,"The problem was not KanganaBut who let the dogs out?We know she will bark, who amplified her bark?The case should be against Times Now for seditionInsult against freedom fighters will not be tolerated.",1
112,"SHAME on you first ,We know you have small brain ,but now you seems to be brainless that ""bloody"" idiot soft porn actress   was making fun of our country  &amp; you were enjoying .The honorable should be taken back and both of you should be",1
113,"talked after Independence 1947 to 2014 , before  Era Independence was not truly Celebrated Like ,   issue was not resolved   From 2104 there is no such issues, Now we are truly celebrating Our",1
114,Redmi K20 ONE OF THE BEST SMARTPHONE under 25kLink:,1
115,They are congress workers... common people are with.  ...she slams Fake  congressias .nit  like  la bai...mangal pandey  ..Bose etc ...congress was connived with Britishers and Zinnah..   Daro nhi..,0
116,"""   remarks not endorsed by Indians: Times Now "" I agree with her..",1
117,"Soon you may receive   and a post from your freedom fighters team. Please remember   ,   they are your well wishers",1
118,"With each s statement I loose a braincell""",0
119,"Boss Lady  Shakes Up The Entire Left Ecosystem, Proud Of You Queen",1
120,First you killed the movie with your acting and now you have killed the sacrifices of freedom fighters who laid down their life fighting for our freedom. if u meant congress be straight on them. Who is Subhash Chandra Bose and Bhagat Singh then ?,1
121,"Sorry, upper strata might have got their freedom in 2014. Lower strata lost it in 1947!",0
122,meanwhile to support  here comes---,1
123,I love  you You were speaking from your heart.,1
124,Wow!! Two intellectuals making fantastic points. they deserve the one way trip to Mars. Kindly add them.,1
125,"its insult of our freedom fighters  """,1
126,"Again  proves that shes the best ally of GodiMeida, no one can distract like her. But the winner of this months Godi Rating Points is not  or , rather its a small time anchor who showed how low - low can go.Any Guesses?Ep.-  """,1
127,On popular demand there should be one way flight fr Delhi to Islamabad and Kabul. Lots of lovers still left over.   we  u.,1
128,"This Smiles Says Everything, as its the impact of recent  when she  received the Padma Shri Award at Rastrapati Bhawan for her inspiring role ..!! Info-     """,1
129,"Not a hardcore fan of , but this made sense. ""congress indeed is an ension of British"" ""a huge percentage of Congress back then ( even today perhaps) was occupied by British cvcks""",1
130,"The Biggest question is to our beloved ,  what was he celebrating all these while at RedFort, freedom of Indian independence or Freedom given by him to his bhakts??  ...",1
131,Great amazing spiritual link Given aboveFor getting real spiritual videos must visit satlok ashram YouTube channel.,1
132,"PM Modi Tells How Congress Has Respected Freedom Fighters, Everyone Must Watch",1
133,"Side effects of   s freedom of 2014 """,1
134,"She insulted congress not freedom fighters please watch time now if you wount proof she praise freedom fighter subash chander bose, rani labai in interview",1
135,"is the dumbest person in India and is a national embarrassment as she dont even knows about our independence, is she on weed on every 15th August?""",0
136,"She insulted congress not freedom fighters please watch time now if you wount proof she praise freedom fighter subash chander bose, rani labai in interview",1
137,"Why did poster queen anchor for Bunch of Thoughts    shut  during the debatethat its an insult to millions of freedom fighters,if it would have been Mumtaz by this time would have been behind bars""",1
138,"!!!ATTENTION!!!""It is amazing what you can accomplish if you do not care who gets the credit.""   - Harry S Truman",1
139,Freedom of Lie .,1
140,"When you get more attention and respect than you actually deserve, you behave like",1
141,"didnt refute the hopeless claim that  made on her face and she also didnt get the actual answer to her original question but went on the praise the guest. Journalism just jumped off the cliff! """,1
142,"She insulted congress not freedom fighters please watch time now if you wount proof she praise freedom fighter subash chander bose, rani labai in interview",1
143,"Hey FoodSavvy foodies, we have something that will create your  fitness and weight loss dream in reality, in your HealtyTreats catalog we have added a king of healthy food,Deilious Oats",1
144,"Kangana:- That was not freedom but ""bheekh"", real freedom came in 2014.Meanwhile Modiji:-",1
145,Look who is saying this. Why u and your party is silent about what  said.,1
146,Your anchor  was smiling when  was insulting  freedom struggle and every freedom fighter. You are promoting open insult to India. It is difficult to differentiate between  Anchors and eemist media spokesperson.,1
147,"PM Modi Tells How Congress Has Respected Freedom Fighters, Everyone Must Watch",1
148,"Kangana:- That was not freedom but ""bheekh"", real freedom came in 2014.Meanwhile Modiji:-",1
149,"Until  burst into the scene everything was alright for Mr. Byapari. Though I appreciate his writings (so do for Amartya Sen) but that doesnt qualify him to hurl such unilateral wild allegations. But, then I realized he is in TMC right now.. Oops!""",1
150,"Such disrespect against the great freedom fighters...withdraw Kanganas Padma Shri """,1
151,Kangana Must Be Booked Under UAPARetweet Guys Lucha Journalists Have some Shame.... Your turned journalism a 4 th pillar of,0
152,"Boss Lady  Shakes Up The Entire Left Ecosystem, Proud Of You Queen Kangana.",1
153,"Just like her acting skills her mental skills is depleting at an alarming rate. By bootlicking she got national award and padma shri and she thinks she has achieved them by her by talent   """,1
154,"Please guys dont give her a mic or a Twitter account She always talk shit   """,0
155,Why you morons are always after her? She just eessed her opinion. The freedom from slave like mentality is important for bharat.,1
156,loves her country.,1
157,should be arrested immediately. She is nothing but a Deshdrohi and we cannot tolerate such a person in our country who is insulting our great freedom fighters who fought hard and gave their lives for our freedom.,1
158,"i support   she said absolulty correct ,, in 2014  we got independance from congress which is an evil power got power transferred by britishers , which shattered pride of hindus and india after britishers",0
159,"Dont call me antinational for being her fan """,1
160,State President   along with State Office Bearers Have given application to the Superintendent of Yerawada Mental Hospital with a request to admit  in the mental hospital for statements on Indias freedom and freedom fighters.,1
161,"She is right. Congress disrespected millions of freedom fighters by saying charkhe se mili Azaadi. Jo charkhe se mili, jo angrezon ki chaploosi se mili azaadi woh bheekh hi thi.",1
162,"Those who are defending  about her recent marks on Bheek thing about Azaadi,Beta, Youre true face of fuckin Anti-National, Mfs. Enjoy.""",1
163,"so much hate for a daring womans.If she speaks against the wrong, then its hurts people a lot. in a male dominated country But no matter how much you try to Stop. But the success of those womens will always be a slap on your face.",0
164,"s shameless statement gives no shock to folks since thats something ected from a follower of bootlickers. The efforts of brave freedom fighters wont matter to the traitors who try destructing the nation every now and then. """,1
165,has esed fakeries of  on independence of the country. She eained facts precisely in a few sentances. People need to understand the truth.,1
166,Keep trolling guys True fans,1
167,"I condemn statement of  saying we got real freedom in 2014, before it was just begging.Kangana is not aware of what freedom is? For 200 years, so many sacrifice their life for what we say as freedom! must withdraw her award.",1
168,"Its a Big blunder, openly  is challenging the identity &amp; integrity of this NATION!Shame on you  JAI HIND      """,1
169,Just finished watching  and Im still traumatised by the jalianwala bagh scene. I think  should be jailed for making such shameful remarks.,0
170,did her best in spreading hates so of course she deserves the 4th highest civilian award at least she has given her  to this field  (according to governments  of india),1
171,Only awards can be obtained bt begging . Not freedom. Kangana statement is insult to all our freedom fighters. She should be arrested for this.,1
172,"And, I wonder if  will share video of those who clapped when  from  to  to  to  to  to  were being labeled beggars?Not only that  be sacked,  sent for rehabilitation but also them who clapped",1
173,"FYI, there are many people who have problem with Gandhi ideology.Thats a fact.Certainly not everyone like to show the next cheek after getting slapped in one.We like to stop the hand in the first attempt only &amp; give two slaps on the culprits face  """,1
174,"So...sir whats your opinion abt  ..??? She didnt embarrassed our freedom fighters???""",1
175,"Following the consistent ""Chanakya"" policies of helplessness &amp; the speed witnesses are becoming hostile Aryan Khans case is going to Cost NCB a lot if not BJP.It will be a Victory of Left J!h ecosystem &amp; Rich who can buy crimes of there ladlas.",0
176,I guess  has misunderstood herself as 21st century Sita and  as Ram?,0
177,Astonishing  submitted  application to the Superintendent of Yerawada Mental Hospital with a request to admit  in hospital for her statements on Indias freedom .Activists urged that her mental health is bad and she needs treatment immediately.,1
178,"That person made a movie all by herself in honour of one of the most prominent martyr. So just STFU and understand what she actually meant. Else you always have a option to ignore if you dont like something.   """,1
179,Why  is not playing  or making Savarkar? He can ask  to co produce. Afraid of another disaster like PM Narendra Modi?,1
180,Tonight at 10pmIST let us pray collectively to always walk the path of   that is based on  - sanatan laws of  - call by,1
181,"Insults to freedom fighter,I want police action against  for freedom only in 2014 comment.",1
182,Freedom of Lie,1
183,"Kangana, navika should be arrested",0
184,was used by BJP to derail the Raffle issue,0
185,Disappointed with not only her statements but also of the anchor and the channel. Have some pride about Indian freedom fighters.,1
186,"Nehrus sacrifices for Indias freedom  speaks out,  seeks burnol!""",1
187,"And name  got PADMASHRI AWARD FOR artIndia govt Also changes difenation of ARTLaying and kissing peoples for money is ART NOW """,1
188,Maybe Kangana is the first piece of brainwashed robot? Big Brother is playing his card.,1
189,Thrustmaster Ferrari GTE 458 Challenge Edition Racing Game Wheel at 4479,1
190,"Netaji Subhash Chandra Bose gave the quote you give me blood I will give you freedom.That was Bheekh mein mili hui azaadi..  fans are one of its kind.""",1
191,World cup 2011 winners according to kangana ranuat,1
192,Yes please send her  Get well soon card and some flowers. She Needs healing.. brain main kuch chemical locha hain.,1
193,An ironically ridiculous moment when  thinks India got its freedom in 2014 and BJP comes after her. LoL,1
194,"didnt sacrifice their lives for  s freedom but worked for Britishers, received allowances &amp; betrayed Bhagat Singh, Chandrashekhar Azad. Then, they became prime minister. cheated  &amp; abuse  you are absolutely right """,0
195,Next Day Lazy Feel Hotha hy please like share and subscribe to my channelSubsc       M,1
196,&amp;  are as pathetic as  &amp;  if not worse.,0
197,Dear   and so called   Do you have the guts to trend  ?,1
198,I Love  you,1
199,NSUI Maharashtra State President  along with State Office Bearers gave application to the Superintendent of Yerawada Mental Hospital with the request to admit  in the mental hospital for her offensive statement on India freedom,1
200,Kangana is an ignoramus !  But what is  s ese ??? An Editor cannot claim to be ignorant or slow witted ! Why did she let it pass and smile giddily ?,1
201,Do not despise the freedom you have gained by striving for your selfishness.!,1
202,all students are confused,0
203,"Reel is always reel. How you try show real. Kangana Ranaut is worker of BJP. She always speak silly. If we got independent in 2014, then before, how she work in industry industry. She always speak Idiot and silly talker.",0
204,"This is [dup] jansi ki Rani during 2014 freedom struggle!!  This women utters anything but I bet she wont  come into politics because that will a tough place for her as she is only a keyboard warrior &amp; can only utter nonsense sitting on sofa.  """,0
205,"One has to understand why  is showing courage; its only bcoz she learned by now that the instrumental contribution of  in freedom struggle. pushed her to deny d truth. In enmity to Muslims, she will go possibly low. """,1
206,"plz educate ur stupid followers. They will earn money by making films on freedom fighters but will bark against them in real life.  u guys wont say a thing, sharam karo """,1
207,"Well!!  has always been civilized &amp; elite force regardless of the ruling party. once they throw ball, Kongana will be run out for sure.",1
208,Why  accepted  as it doesnt belong to after 26-05-14  jis independent,1
209,"While many said she had insulted the countrys freedom fighters and their sacrifice, some politicians demanded the government to withdraw her Padma Shri award. """,1
210,"not only congress, so many others like Bhagat Singh, Chandrashekhar Azad, Bismillah, Udham Singh sacrificed their lives to get us our freedom - the reason you and I and Kangana can lead a free life. And she insulted them all, she insulted INDIA !",1
211,and they laughed at  Really man this guy is all above comedians! Even mr bean fails!,1
212,Kangana Ranaut agar kisi thele pe jaaake golagappe bhi khale toh bhi news bn jaaye !!! So what is this point ki  surkhiyo mai rhene k liye ye kar rahi hai !!!!! She speaks her mind and if her thoughts make you angry then stop watching her .,0
213,Design transcends agenda. It speaks to the politics of optimism.,1
214,1st why you telecast such thing ? 2nd why anchor Navika as agreeing to her point and intact praises her the way she speaks 3rd people sitting and clapping  where they bjp / rss / times group ?? 4th Is times group or navika apologies for it ?,1
215,so fresh &amp; beautiful,1
216,"What to make of the various utterances of  .Is she really unhinged, insane, unintelligent, and ignorant as her detractors claim, or is there a motive?Read and share",0
217,"What was   doing when  made that statement. Why couldnt she intervene?Only after the public outcry such statements are coming from This shows their fake nationalism..These paid media are loyal to the ones who pay them not to the country.""",0
218,"complaint filed against Kangana Ranaut for calling Congress govt era an ension of British Rule.Meanwhile Sanghi bois : Koi fayda nhi, hum hain na...",0
219,"Freedom is not found in begging, madam would have to sacrifice for it. You did MahatmaGandhi,Bhagat Singh,ChandraShekharAzad And dont know how many people sacrificed.Anyway,what is the difference,in the summit of fools, there are only fools.  """,0
220,so should we forget the sacrifice of our freedom fighter.Those who were martyred at such a young age . did not get any award.,1
221,"So, as the award wapsi gang didnt get any of the awards this year, theyre now down to forcing people who got one, to return theirs. """,1
222,Web design is not just about creating pretty layouts. Its about understanding the marketing challenge behind your business.,1
223,You should have had the guts to stop  then &amp; there when she started talking filth. Disgusting.,0
224,Looks like  got high after getting  award recently....,1
225,"please control your tongue.... Or someone will chop it.... You degrading the ""Freedom Fighters"" of My Country. What a Disgusting Creature you are",1
226,NSUI Maharashtra State President  along with State Office Bearers gave application to the Superintendent of Yerawada Mental Hospital with the request to admit  in the mental hospital for her offensive statement on Indias freedom &amp; freedom fighters.,1
227,"to maintain peace and harmony in the country  should be behind bars, an influential person should not be given undue advantage of his or her status.",1
228,Shame on your statement. you insulted freedom fighters.,0
229,"I am ashamed of Myself that ,why I watched the movies of this lady, she has abused every life sacrificed for archiving Freedom..",0
230,"Files a complaint to the honourable President of india, to withdraw the padma sri award from  She must be sued according to the law of this country. She is insulting the highest office of the India.",1
231,"Padma Shri for &amp; Job Termination for Dr Kafeel Khan who saved the children!Hes terminated despite getting clean chit from UP govt. and High Court!   Raise your voice  """,1
232,True Indian never listen word which was used by . How Navika and TimesNow listen this word.,1
233,"Every great design begins with an even better story."" -- Lorinda Mamo, designer.",1
234,Surely  statement.!!,1
235,The answer to this will have to be asked from the headmaster of WhatsApp University that why are these two toppers confused about independence?,0
236,"However, leftists &amp; islamists are constantly twisting her statement hoping to get her arrested somehow.But they cant do it because nothing did she say was wrong. And it wouldnt hold for a second in the court of law. Proud of  for speaking her mind.""",1
237,"Many people are shocked by Kangana Ranauts award.     """,1
238,"These are 2 great toppers of whatsapp university, one says that India got independence on 99 years lease.And the other says that India got real independence in 2014.Who taught them?",1
239,Kangana is a dangerous distraction from Rafale scam.,0
240,"called indian freedom ""alms"" as in "" bheekh"".Where are the so called nationalists? for eples        ?  Where are you all? Where is the so called national party   ?",1
241,"I remember somewhere in 2016-17 Congresss tukde tukde gang was asking Freedom, No wonder why they have objections with Kangana """,1
242,You woke up finaly just why did you didnt say anything in front of kangna are you scared with this mental?,0
243,How much farther are u gonna take image building! u say India got independence in 2014!!! Actual direct insult to all those who fought for this great nation! IMHO this is truly anti Indian.  Shameful statement. Keep ur chamchagiri to urself. We hv spine &amp; pride!,0
244,"s India got freedom in 2014 insult to freedom fighters: Twitter Reacts """,1
245,Independence Struggle - Behind The Scenes.,0
246,"if we independent in 2014 then pls let us know about Shahid Bhagat Singh and all freedom fighters sacrifice.""",1
247,You should return award that was started in 1955. Coz you think indepence came in 2014.,1
248,Okey. Can we have a closed holiday every year on the day we got independence in the year 2014?,1
249,"People who are targeting , didnt even used to take interest in politics before 2014.and now giving lectures on nation, freedom fighters bla bla.Kindly thank to PM Narendra Modi Ji""",1
250,Good that you woke up. Now ban her permanently! She is a disgrace.,0
251,"Kangana should be booked under UAPA for her remarks on Indias freedom. She has challenged the sovereignty of the county before 2014. She is a clear internal threat to country. Awarding kangana a padma shri is an insult of the the award. She should be arrested.""",1
252,Big breaking...Mahila Congress files case against  in churu and jodhpur districts!Kangana in trouble after her statement on Independence,0
253,"and the people who were present at the show and clapping on  s words are all "" Anti Nationals """,0
254,Only awards are given as bhik not freedom,1
255,Usually prefer to stay away from dirty shitty politics.But couldnt resist today.,0
256,Listen full speech Half knowledge is a dangerous thing,0
257,What I get from  tweet on  is that  and others who clapped on   are not TRUE Indian !,1
258,got  for Licking Government shoe and Spreading hatred :Wah wah,0
259,"Why only  there must equal action against  and  why didnt  stopped and cross questions  inspite of she encouraged her and shameless crowd clapping..""",0
260,"Not only  , even North Korean channels like  and  need to be taken to task.",1
261,"To everyone who supports  statement about Indias freedom  """,1
262,"She is right. India got independence due to the destruction of the British economy caused by world war 2, not due to Gandhi or other so-called freedom fighters. Later India was enslaved due to communal hatred,pseudo-secularism and the congress dynasty.",0
263,"Sorry Shaheed Bhagat Singh ji,Neta Subhash Chandra Bose ji,Shaheed Ashfaqulla Khan ji and all our Legendary and beloved freedom fighters,we jst forgot what u had done for us.This lady has crossed all the limits.Sorry ji,was it anti-national or not?",1
264,NSUI Maharashtra submitted  application to the Superintendent of Yerawada Mental Hospital with a request to admit  in the  for statements on Indias freedom and freedom fighters .Her mental health is not good and she needs treatment immediately.,1
265,"Why are you so nosey about ,  ? Did you hear s comments on Indias freedom?Did you know about ? Did you hear about latest drug haul in ?Any update on the case  is fighting regarding ? """,0
266,shame on you kangana,0
267,"If this type of thing were said by any other than BJP supporter they wouldve been in jail right now. And when this senseless bi*ch disrespected our freedom fighters nothing happens to her. This govt. cant do anything theyre coward. """,1
268,I proud of you baby,1
269,And the LeLiJis were doing this in  India  till we got freedom from them  in 2014. Otherwise they would have continued mocking and humiliating Hindus.Weldone,0
270,True way of Worship is currently available with Saint Rampal Ji MaharajVisit Satlok Ashram Youtube Channel,1
271,"You turned out after two days, Hmm What about  Smile??Do you uphold  Arrest??Who insult our freedom fighters and millions of Indians sentiments...",1
272,A final choice  The welcome spread of assisted dying,1
273,Ert your product globally with Medusa EXIMAagro ProductsBiscuitCerealsCoco PowderDairy ProductsWe believe in building strong partnerships with customers by providing them with an investment-worthy collection.,1
